RANDOM;MergeSort;QuickSort;StandardSort;RANDOM_MALOS;BubbleSort;ORDENADO;MergeSort;StandardSort;ORDENADO_MALOS;QuickSort;BubbleSort;SEMI_ORDENADO;MergeSort;QuickSort;StandardSort;SEMIORDERED_MALO;BubbleSort;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2000000;889;387;471;2000;11;2000000;630;266;2000;14;5;2000000;828;571;436;2000;9;;;;;
4000000;1822;914;977;4000;48;4000000;1279;570;4000;59;11;4000000;1686;889;879;4000;38;;;;;
6000000;2792;1265;1506;6000;108;6000000;1969;988;6000;123;16;6000000;2568;1660;1337;6000;83;;;;;
8000000;3814;1723;2258;8000;209;8000000;2674;1181;8000;219;22;8000000;3541;2365;1801;8000;148;;;;;
10000000;4757;2154;2587;10000;283;10000000;3378;1670;10000;341;27;10000000;4479;2778;2342;10000;231;;;;;
12000000;5710;2582;3130;12000;429;12000000;3983;1872;12000;490;34;12000000;5573;3158;2979;12000;338;;;;;
14000000;6784;3035;3725;14000;666;14000000;4800;2356;14000;681;39;14000000;6404;3305;3209;14000;451;;;;;
16000000;7731;3828;4504;16000;767;16000000;5367;2489;16000;883;42;16000000;7406;4143;3813;16000;630;;;;;
18000000;8740;4206;5129;18000;969;18000000;6076;2763;18000;1128;51;18000000;8273;4586;4441;18000;786;;;;;
20000000;9695;4757;5677;20000;1199;20000000;6827;3498;20000;1373;55;20000000;9286;5210;4754;20000;1028;;;;;
22000000;10789;5256;6425;22000;1553;22000000;7463;3586;22000;1663;58;22000000;10086;5770;5480;22000;1143;;;;;
24000000;11718;5625;6808;24000;1777;24000000;8676;3846;24000;1991;65;24000000;11400;5993;5933;24000;1394;;;;;
26000000;12784;6051;7625;26000;2049;26000000;9243;4107;26000;2332;70;26000000;12477;8310;6403;26000;1775;;;;;
28000000;13791;6842;7991;28000;2446;28000000;9861;4651;28000;2686;87;28000000;13564;8368;7169;28000;1890;;;;;
30000000;14737;7461;8386;30000;2832;30000000;10377;4767;30000;3087;90;30000000;14591;8785;7706;30000;2328;;;;;
32000000;15850;7761;9061;32000;3250;32000000;11231;5814;32000;3577;96;32000000;15415;9358;8107;32000;2630;;;;;
34000000;17001;8046;9712;34000;3768;34000000;12727;5946;34000;3968;107;34000000;16004;10032;8907;34000;2800;;;;;
36000000;18404;9131;10367;36000;3992;36000000;13581;6039;36000;4440;106;36000000;16992;10057;9558;36000;3331;;;;;
38000000;19425;9060;10982;38000;4749;38000000;13862;6513;38000;4978;113;38000000;18041;10164;9517;38000;3639;;;;;
40000000;20239;10345;11797;40000;5147;40000000;14579;6858;40000;5494;118;40000000;19299;12843;10289;40000;4203;;;;;
42000000;21308;10222;12071;42000;5941;42000000;15065;7480;42000;6024;132;42000000;20160;12270;10632;42000;4365;;;;;
44000000;22398;10738;13030;44000;6749;44000000;15438;7726;44000;6581;125;44000000;21486;12910;11171;44000;5178;;;;;
